id_contribuable,nom,prenom,region,revenu_annuel,revenu_declare,impot_declare,depenses,charges,type_revenu
6198731a-b039-4f01-8a14-1155b40e2184,Robinson,Amanda,Nicoleton,196550,196550.0,49137.5,50348,7046.79,indépendant
c0ec020e-96d8-45e6-977a-b4ea07bbc047,Andrews,Kenneth,East Adrian,170746,170746.0,42686.5,35501,8175.9,salaire
33f70698-6c1d-4fa7-a59b-523cc51a1cce,Phillips,Christina,Port Jeanetteburgh,91071,91071.0,22767.75,22864,3687.22,patrimoine
31c21c2d-5530-4ac9-b145-4c659c0bb82f,Wise,Francisco,Perrybury,85316,85316.0,21329.0,25892,6476.58,salaire
e2cac734-f593-4f41-9c50-a81400968d71,Clayton,Laura,Crystalbury,196606,196606.0,49151.5,10272,3351.55,salaire
c0a53881-b830-4658-bfd2-a250f372aa6f,Watkins,Anthony,Josephport,144427,144427.0,36106.75,68281,8983.28,indépendant
b8a8d5d1-eafb-414a-9525-76c575e79031,Brown,Megan,South Michelleton,76751,76751.0,19187.75,60400,6501.07,patrimoine
ec9e3b61-eae2-4682-8691-bef627d1019e,Leblanc,Tonya,North Amyville,104936,104936.0,26234.0,30338,11045.87,patrimoine
92c24fde-597d-473b-85a3-a9f2f2c88da4,Jones,Katie,North Joshuafort,111589,111589.0,27897.25,18545,5659.3,salaire
6743eabc-3503-4f5d-b394-de7bd3f166d6,Booker,Phyllis,Hamiltonland,142947,47409.44705120542,11852.36,17880,6138.58,indépendant
4b137b64-d6d8-40bf-b442-c67219ffcb87,Hunt,Brandy,West Grace,193665,193665.0,48416.25,17103,2218.28,salaire
ae2aa9f1-8ea4-48ce-b255-91cb3323079f,Mendez,Pamela,Port Michelle,116407,116407.0,29101.75,34557,8503.22,patrimoine
a95b3c5c-795f-425e-b4bb-b18bffd82af3,Taylor,Shawn,East Christinemouth,88297,88297.0,22074.25,34276,6530.39,salaire
d7d82b57-4193-4970-9fe0-c939b9fe53b2,Rice,Michelle,Buchananland,122191,122191.0,30547.75,34400,12295.71,salaire
6b467104-b9bc-4689-8b3e-77f5dcb8a804,Thompson,Anthony,Lake Emilyburgh,164860,164860.0,41215.0,29459,3080.16,indépendant
d39c202f-8321-43fc-8763-dc27783bf2f7,Brock,William,West Patrick,149030,149030.0,37257.5,35527,6281.25,patrimoine
